Название,Жанр,Режиссер,Страна,Год,IMDB
Обыкновенный человек,комедия,Александр Столбов,СССР,1956,6.9
Ночь охотника,"драма,триллер",Чарльз Лоутон,США,1955,8.0
Ночной кошмар,Фильм нуар,Максвелл Шейн,США,,6.4
Она вас любит,Кинокомедия,"Семён Деревянский,Рафаил Суслович",СССР,1956,6.6
Оно захватило мир,Фантастика,Роджер Корман,США,1956,4.9
Невеста,"мелодрама, экранизация",",, ",СССР,,6.5
Непокорённый,драма,Сатьяджит Рей,Индия,1956,8.2
Новая повесть о доме Тайра: Ёсинака и три его женщины,"дзидайгэки,историческая,драма",Тэйноскэ Кинугаса,Япония,,7.4
Невеста слишком хороша,"мелодрама,комедия",Пьер Гаспар-Юи,Франция,1956,5.7
Неосторожность,"Фильм нуар,Триллер",Гарри Келлер,США,1956,6.3
Не тронь добычу,гангстерский фильм,Жак Беккер,"Франция,Италия",17 марта,7.7
"Не та, так эта","комедия,музыкальный фильм",Гусейн Сеидзаде,СССР,1956,8.5
На подмостках сцены,"комедия,водевиль",Константин Юдин,СССР,1956,6.8
Наша зелёная земля,Социальная драма,Ахмед Дыя эд-Дин,Египет,1956,6.9
На задворках,драма,Виктор Невежин,СССР,1956,6.6
Мы хотим жить,"драма,исторический,военный",",","Южный Вьетнам,Филиппины",1956,6.6
Мы здесь живём,социальная драма,",",СССР,1956, 
Наш двор,драма,Резо Чхеидзе,СССР,1956,7.6
Моби Дик,драма,Джон Хьюстон,Великобритания,1956,7.3
Моление о счастье,драма,Сан Ху,,1956,6.8
Н.Л.О.: Истинная история летающих тарелок,научная фантастика,Уинстон Джонс,США,1956,5.3
Мы все нужны,драма,Хосе Антонио Ньевес Конде,Испания,1956,6.9
Мост,драма,Борис Шрейбер,СССР,1956,7.4
Мужчины остаются дома,комедия,Игорь Ельцов,СССР,1956, 
Моя дочь,драма,Виктор Жилин,СССР,1956,6.3
Мрак среди дня,фильм-драма,Тадаси Имаи,Япония,,7.5
Миколка-паровоз,"детское, историко-приключенческое",Лев Голуб,СССР,1956,6.8
Медовый месяц,лирическая комедия,Надежда Кошеверова,СССР,1956,6.8
Мистер Питкин:,Кинокомедия,[en],Великобритания,1956,6.5
Мария-Антуанетта — королева Франции,"исторический фильм,биографический фильм,драма,мелодрама",Жан Деланнуа,"Франция,Италия",1956,6.2
Машинист,драма,Пьетро Джерми,Италия,1956,7.7
Мальва,мелодрама,Владимир Браун,СССР,1956,6.9
Мой дядя,комедия,Жак Тати,Франция,1958,7.7
Мистер Питкин в тылу врага,комедия,Джон Пэдди Кастэйрс,Великобритания,1958,6.8
