Название,Жанр,Режиссер,Страна,Год,IMDB
Семь красавиц,музыкальный фильм,"Слидовкер, Феликс Семёнович",,А. М. Прохоров, 
Следствие ведут ЗнаТоКи. До третьего выстрела,детектив,Вячеслав Бровкин,СССР,1978,6.9
"Слава Богу, сегодня пятница","Комедия,мюзикл",Роберт Клейн,США,1978,5.4
Синяя птица,"фильм-сказка,приключенческий фильм,семейный фильм",Джордж Кьюкор,"США,СССР",5 апреля,5.3
Склока,комедия,Клод Зиди,Франция,1978,6.4
Сибириада,"драма,поэма,исторический фильм,электронная музыка,прогрессивный рок,народная музыка",Андрей Кончаловский,СССР,1978,7.9
Синие воротнички,драма,Пол Шредер,США,1978,7.5
Семь великих мастеров,"боевик,драма",Джозеф Го,Китайская Республика,1978,7.0
Свидание с молодостью,мелодрама,Валентин Попов,СССР,Википедия:К удалению/9 августа 2022, 
Северино,[d],Claus Dobberke,"ГДР,Румыния",1978,5.2
Свидетельство о бедности,детектив,Самвел Гаспаров,СССР,1978,4.9
Сдаётся квартира с ребёнком,комедия,Виктор Крючков,СССР,1978,6.3
Свекровь,"Кинокомедия,музыкальный фильм",Гусейн Сеидзаде,СССР,1978,8.4
Свадьба,комедия,Роберт Олтмен,США,1978,7.0
Рокеры,"драма,комедия,музыка",Тед Бафалукос,Ямайка,,7.5
Рождественские приключения Бенджи,семейный фильм,Джо Кэмп,США,1978,5.3
Рой,"ужасы,фантастика,боевик,триллер,драма",Ирвин Аллен,США,1978,4.5
Самоубийство влюблённых в Сонэдзаки,"драма,мелодрама",Ясудзо Масумура,Япония,1978,6.8
Ручной замок Шаолиня,боевик,[en],Гонконг,1978,6.1
Робер и Робер,комедия,Клод Лелуш,Франция,1978,6.5
Рождённый непобедимым,боевик,Джозеф Го,Гонконг,1978,7.0
Робин и Мэриан,"приключенческий фильм,драма,мелодрама",Ричард Лестер,США,11 марта,6.5
Репетиция оркестра,"драма,комедия",Федерико Феллини,"Италия,ФРГ",1978,7.1
Реванш,детектив,Серджиу Николаеску,Румыния,1978,7.7
Расписание на послезавтра,"драма,киноповесть",Игорь Добролюбов,СССР,1978,6.1
Расмус-бродяга,приключенческий фильм,Мария Муат,СССР,1978,8.0
Ребёнок из стекла,фэнтезийный фильм,Джон Эрман,США,1978,7.5
Ралли,"детектив,спортивный",Алоиз Бренч,СССР,,5.6
Разгневанный,"драма,криминальный фильм",Клод Пиното,"Франция,Канада",1978,6.1
Пять вечеров,драма,Никита Михалков,СССР,1978,7.6
Пятеро ядовитых,боевик,Чжан Чэ,Гонконг,1978,7.0
Пчелиная матка,кинодетектив,Кон Итикава,Япония,,6.4
Простая история / У каждого свой шанс,драма,Клод Соте,"Франция,Германия",1978,6.9
Прилетала сова,"детский фильм,драма",Шамиль Махмудбеков,"СССР,Азербайджанская ССР",1978,7.4
Пьяный мастер,комедийный фильм о боевых искусствах,Юнь Вопхин,Гонконг,1978,7.4
"Пророк, золото и трансильванцы",вестерн,"Дан Пица,Мирча Верою",Румыния,1978,7.5
Приключения Пикассо,комедия,Таге Даниэльссон,Швеция,1978,7.4
Приключения в каникулы,"[d],[d],[1],[d],[1],[d],[1],приключенческий телесериал,[1]",Радим Цврчек,Чехословакия,1978,7.6
Приди в долину винограда,производственный фильм,Георгий Шенгелая,СССР,1978,4.6
Принц и Вечерняя Звезда,мелодрама,Вацлав Ворличек,Чехословакия,1978,7.0
Прикосновение медузы,"драма,триллер",Джек Голд,"Великобритания,Франция",1978,6.9
Приближается всадник,"вестерн,драма",Алан Пакула,США,1978,6.3
Приготовьте ваши носовые платки,"драма,комедия,мелодрама",Бертран Блие,"Франция,Бельгия",1978,7.0
Предварительное расследование,детектив,Андрей Разумовский,СССР,1978,5.9
Последняя двойка,детский фильм,Борис Нащёкин,СССР,1978,6.6
Поторопись,комедия,Гари Янгмэн,США,1978,6.3
Прелестное дитя,драма,Луи Маль,США,1978,6.5
Познавая белый свет,мелодрама,Кира Муратова,СССР,1978,7.1
Полковник Шабер,драма,Ирина Сорокина,СССР,1978, 
Пока безумствует мечта,музыкальный фильм,Юрий Горковенко,СССР,1978,5.6
"Предания о героях, стреляющих в орлов. Продолжение","боевик,драма",Чжан Чэ,Гонконг,1978,6.1
Полуночный экспресс,"драма,триллер",Алан Паркер,США,1978,7.5
Полицейский и бандит,комедия,"Хэл Нидэм, , , (",США,27 мая,7.0
Последний вальс,документальный,Мартин Скорсезе,США,1978,8.1
Поздняя встреча,Мелодрама,Владимир Шредель,СССР,1978,6.7
"Поговорим, брат…",боевик,Юрий Чулюкин,СССР,1978,6.4
Подарок чёрного колдуна,сказка,Борис Рыцарев,СССР,1978,6.4
Подарю тебе город,комедия,Эдуард Хачатуров,СССР,1978, 
Побег,комедия,Жерар Ури,Франция,1978,6.4
По улицам комод водили,комедия,"Марк Генин,Николай Ковальский",СССР,"На Дерибасовской хорошая погода, или На Брайтон-Бич опять идут дожди",6.0
Пиранья,фильм ужасов,Джо Данте,США,1978,5.9
«Повар и певица»,мелодрама,"Мукадас Махмудов,Валерий Харченко",СССР,1978,4.6
Поворот,драма,Вадим Абдрашитов,СССР,1978,7.2
Песнь о Роланде,"приключенческий фильм,драма",Франк Кассанти,Франция,1978,5.5
Персеваль Валлиец,экранизация,Эрик Ромер,"Франция,Германия,Италия,Швейцария",1978,6.9
Перебежчик Симас Кудирка,драма,Дэвид Лоуэлл Рич,,1978,7.1
Патрульный 777,чёрная комедия,Мигель Дельгадо,Мексика,1978,6.4
Переход,драма,Орландо Лубберт,ГДР,1978,6.0
Патрик,"фильм ужасов,фантастика,триллер",Ричард Франклин,Австралия,1978,6.2
"Палящее солнце, яростный ветер, дикий огонь","боевик,приключенческий фильм",Сунь Цзиньюань,"Гонконг,Китайская Республика",1978,5.7
Пальцы,драма,Джеймс Тобэк,США,1978,6.8
Пастораль 1943,"драма,военный фильм",Вим Верстаппен,Нидерланды,1978,6.8
Отряд особого назначения,военный фильм,Вадим Лысенко,СССР,1978,6.4
Охотник на оленей,"драма,военный",Майкл Чимино,"США,Великобритания",1978,8.1
Отпущение грехов,"драма,триллер",Энтони Пейдж,Великобритания,1978,6.5
Отчаяние /,драма,Райнер Вернер Фассбиндер,"ФРГ,Франция",1978,6.9
Отряд 10 из Наварона,"военный,боевик",Гай Хэмилтон,Великобритания,1978,6.4
Палата № 6,драма,Лучиана Пинтилие,Югославия,1978,7.5
Открытая страна,,Александр Лейманис,СССР,1978, 
Особых примет нет,"фильм-биография,триллер",Анатолий Бобровский,СССР,1978,6.2
Осенние колокола,сказка,Владимир Гориккер,СССР,,6.9
Осенняя соната,драма,Ингмар Бергман,"Франция,ФРГ,Швеция,Норвегия",В присутствии клоуна,8.1
Отец Сергий,драма,Игорь Таланкин,СССР,1978,7.1
Орел или решка,"комедия,приключения", / Sergio Corbucci,,1978,7.1
Однофамилец,"драма,киноповесть",Ольгерд Воронцов,СССР,1978,7.7
Оккупация в 26 картинках,"драма,военный фильм",Лордан Зафранович,Югославия,1978,7.4
Оркестр клуба одиноких сердец сержанта Пеппера,"приключенческий фильм,музыкальный фильм",Майкл Шульц,США,1978,4.2
Не ищи объяснения,"мелодрама, экранизация",Джали Соданбек,СССР,1982, 
Новые приключения капитана Врунгеля,"приключения,музыкальная комедия",Геннадий Васильев,СССР,1978,6.8
Оазис в огне,"военный фильм,драма,исторический фильм,приключенческий фильм",Шамиль Махмудбеков,СССР,1978,5.4
Обочина,киноповесть,Вячеслав Никифоров,СССР,1978,6.5
Никогда не сдаваться,"криминальный,боевик",Дзюнъя Сато,Япония,,6.1
Несколько интервью по личным вопросам,драма,Лана Гогоберидзе,СССР,1978,7.3
Немного кунг-фу,"боевик,комедия",Чэнь Чжихуа,"Гонконг,Китайская Республика",,5.6
Непобедимый Брюс Ли,"боевик,приключенческий фильм",Ло Кхэй,Гонконг,1978,4.6
Южный Шаолинь против Северного Шаолиня,боевик,Чжан Чэ,Гонконг,1978,6.9
Незамужняя женщина,комедийная драма,Пол Мазурски,США,1978,7.2
Незнакомец в нашем доме,"драма,фильм ужасов,триллер",Уэс Крэйвен,США,1978,5.4
Нежный полицейский,"комедия,детектив",Филипп Де Брока,Франция,1978,6.7
Бриллианты навсегда,"боевик,приключенческий фильм,триллер",Гай Хэмилтон,"Великобритания,США",1971,6.5
Бриллианты пани Зузы,детектив,Павел Коморовский,Польша,1971,5.3
Небеса могут подождать,"кинокомедия,фэнтези","Уоррен Битти,Бак Генри",США,1978,6.9
Брат и сестра,драма,Дев Ананд,Индия,1971,7.1
Мятежная баррикада,"Историко-революционный, биографический",Юрий Швырёв,СССР,1978, 
Направляясь на юг,"вестерн,комедия",Джек Николсон,США,1978,6.2
Недопёсок Наполеон III,Семейный фильм,Эдуард Бочаров,СССР,1978,6.5
Мужчине живётся трудно. ,комедия,Ёдзи Ямада,Япония,,6.1
Мстительная красавица,"боевик,приключенческий фильм,драма",[en],Гонконг,1978,6.7
